2131,"Biologists, botanists, zoologists and related professionals",213,Life science professionals,21,"Ovens, furnaces, furnace burners",2,Machines
2131,"Biologists, botanists, zoologists and related professionals",213,Life science professionals,21,"Ovens, furnaces, furnace burners",2,Professionals
2131,"Biologists, botanists, zoologists and related professionals",213,Life science professionals,21,Science and engineering professionals,2,Machines
2131,"Biologists, botanists, zoologists and related professionals",213,Life science professionals,21,Science and engineering professionals,2,Professionals
8154,"Bleaching, dyeing and fabric cleaning machine operators",815,"Textile, fur and leather products machine operators",81,Services to buildings and landscape activities,N,Administrative and support service activities
8154,"Bleaching, dyeing and fabric cleaning machine operators",815,"Textile, fur and leather products machine operators",81,Stationary plant and machine operators,8,"Plant and machine operators, and assemblers"
2161,Building architects,216,"Architects, planners, surveyors and designers",21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,C,Manufacturing
2161,Building architects,216,"Architects, planners, surveyors and designers",21,"Ovens, furnaces, furnace burners",2,Machines
2161,Building architects,216,"Architects, planners, surveyors and designers",21,"Ovens, furnaces, furnace burners",2,Professionals
2161,Building architects,216,"Architects, planners, surveyors and designers",21,Science and engineering professionals,2,Machines
2161,Building architects,216,"Architects, planners, surveyors and designers",21,Science and engineering professionals,2,Professionals
7119,Building frame and related trades workers not elsewhere classified,711,Building frame and related trades workers,71,Architectural and engineering activities; technical testing and analysis,M,"Professional, scientific and technical activities"
7119,Building frame and related trades workers not elsewhere classified,711,Building frame and related trades workers,71,"Building and related trades workers, excluding electricians",7,Craft and related trades workers
7119,Building frame and related trades workers not elsewhere classified,711,Architectural and engineering activities and related technical consultancy,71,Architectural and engineering activities; technical testing and analysis,M,"Professional, scientific and technical activities"
7119,Building frame and related trades workers not elsewhere classified,711,Architectural and engineering activities and related technical consultancy,71,"Building and related trades workers, excluding electricians",7,Craft and related trades workers
7133,Building structure cleaners,713,"Painters, building structure cleaners and related trades workers",71,Architectural and engineering activities; technical testing and analysis,M,"Professional, scientific and technical activities"
7133,Building structure cleaners,713,"Painters, building structure cleaners and related trades workers",71,"Building and related trades workers, excluding electricians",7,Craft and related trades workers
3339,Business services agents not elsewhere classified,333,Business services agents,33,Business and administration associate professionals,3,Equipment
3339,Business services agents not elsewhere classified,333,Business services agents,33,Business and administration associate professionals,3,Technicians and associate professionals
3339,Business services agents not elsewhere classified,333,Business services agents,33,Repair and installation of machinery and equipment,C,Manufacturing
3339,Business services agents not elsewhere classified,333,Business services agents,33,Equipment for work with electricity,3,Equipment
3339,Business services agents not elsewhere classified,333,Business services agents,33,Equipment for work with electricity,3,Technicians and associate professionals
1219,Business services and administration managers not elsewhere classified,121,Business services and administration managers,12,Manufacture of tobacco products,C,Manufacturing
1219,Business services and administration managers not elsewhere classified,121,Business services and administration managers,12,Power-driven tools used for …,1,Managers
1219,Business services and administration managers not elsewhere classified,121,Business services and administration managers,12,Power-driven tools used for …,1,Tools
1219,Business services and administration managers not elsewhere classified,121,Business services and administration managers,12,Administrative and commercial managers,1,Managers
1219,Business services and administration managers not elsewhere classified,121,Business services and administration managers,12,Administrative and commercial managers,1,Tools
1219,Business services and administration managers not elsewhere classified,121,"Sawing, cutting",12,Manufacture of tobacco products,C,Manufacturing
1219,Business services and administration managers not elsewhere classified,121,"Sawing, cutting",12,Power-driven tools used for …,1,Managers
1219,Business services and administration managers not elsewhere classified,121,"Sawing, cutting",12,Power-driven tools used for …,1,Tools
1219,Business services and administration managers not elsewhere classified,121,"Sawing, cutting",12,Administrative and commercial managers,1,Managers
1219,Business services and administration managers not elsewhere classified,121,"Sawing, cutting",12,Administrative and commercial managers,1,Tools
7522,Cabinet-makers and related workers,752,"Wood treaters, cabinet-makers and related trades workers",75,"Food processing, wood working, garment and other craft and related trades workers",7,Craft and related trades workers
7522,Cabinet-makers and related workers,752,"Wood treaters, cabinet-makers and related trades workers",75,Veterinary activities,M,"Professional, scientific and technical activities"
8322,"Car, taxi and van drivers",832,"Car, van and motorcycle drivers",83,Drivers and mobile plant operators,8,"Plant and machine operators, and assemblers"
2165,Cartographers and surveyors,216,"Architects, planners, surveyors and designers",21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,C,Manufacturing
2165,Cartographers and surveyors,216,"Architects, planners, surveyors and designers",21,"Ovens, furnaces, furnace burners",2,Machines
2165,Cartographers and surveyors,216,"Architects, planners, surveyors and designers",21,"Ovens, furnaces, furnace burners",2,Professionals
2165,Cartographers and surveyors,216,"Architects, planners, surveyors and designers",21,Science and engineering professionals,2,Machines
2165,Cartographers and surveyors,216,"Architects, planners, surveyors and designers",21,Science and engineering professionals,2,Professionals
8114,"Cement, stone and other mineral products machine operators",811,Mining and mineral processing plant operators,81,Services to buildings and landscape activities,N,Administrative and support service activities
8114,"Cement, stone and other mineral products machine operators",811,Mining and mineral processing plant operators,81,Stationary plant and machine operators,8,"Plant and machine operators, and assemblers"
8114,"Cement, stone and other mineral products machine operators",811,Combined facilities support activities,81,Services to buildings and landscape activities,N,Administrative and support service activities
8114,"Cement, stone and other mineral products machine operators",811,Combined facilities support activities,81,Stationary plant and machine operators,8,"Plant and machine operators, and assemblers"
3116,Chemical engineering technicians,311,Physical and engineering science technicians,31,Manufacture of furniture,C,Manufacturing
3116,Chemical engineering technicians,311,Physical and engineering science technicians,31,Equipment for working at heights,3,Equipment
3116,Chemical engineering technicians,311,Physical and engineering science technicians,31,Equipment for working at heights,3,Technicians and associate professionals
3116,Chemical engineering technicians,311,Physical and engineering science technicians,31,Science and engineering associate professionals,3,Equipment
3116,Chemical engineering technicians,311,Physical and engineering science technicians,31,Science and engineering associate professionals,3,Technicians and associate professionals
2113,Chemists,211,Physical and earth science professionals,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,C,Manufacturing
2113,Chemists,211,Physical and earth science professionals,21,"Ovens, furnaces, furnace burners",2,Machines
2113,Chemists,211,Physical and earth science professionals,21,"Ovens, furnaces, furnace burners",2,Professionals
2113,Chemists,211,Physical and earth science professionals,21,Science and engineering professionals,2,Machines
2113,Chemists,211,Physical and earth science professionals,21,Science and engineering professionals,2,Professionals
1341,Child care services managers,134,Professional services managers,13,Manufacture of textiles,C,Manufacturing
1341,Child care services managers,134,Professional services managers,13,Production and specialised services managers,1,Managers
1341,Child care services managers,134,Professional services managers,13,Production and specialised services managers,1,Tools
9312,Civil engineering labourers,931,Sports activities,93,Sports activities and amusement  and recreation activities,R,"Arts, entertainment and recreation"
9312,Civil engineering labourers,931,Sports activities,93,"Labourers in mining, construction, manufacturing and transport",9,Elementary occupations
9312,Civil engineering labourers,931,Mining and construction labourers,93,Sports activities and amusement  and recreation activities,R,"Arts, entertainment and recreation"
9312,Civil engineering labourers,931,Mining and construction labourers,93,"Labourers in mining, construction, manufacturing and transport",9,Elementary occupations
3112,Civil engineering technicians,311,Physical and engineering science technicians,31,Manufacture of furniture,C,Manufacturing
3112,Civil engineering technicians,311,Physical and engineering science technicians,31,Equipment for working at heights,3,Equipment
3112,Civil engineering technicians,311,Physical and engineering science technicians,31,Equipment for working at heights,3,Technicians and associate professionals
3112,Civil engineering technicians,311,Physical and engineering science technicians,31,Science and engineering associate professionals,3,Equipment
3112,Civil engineering technicians,311,Physical and engineering science technicians,31,Science and engineering associate professionals,3,Technicians and associate professionals
2142,Civil engineers,214,Engineering professionals (excluding electro technology),21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,C,Manufacturing
2142,Civil engineers,214,Engineering professionals (excluding electro technology),21,"Ovens, furnaces, furnace burners",2,Machines
2142,Civil engineers,214,Engineering professionals (excluding electro technology),21,"Ovens, furnaces, furnace burners",2,Professionals
2142,Civil engineers,214,Engineering professionals (excluding electro technology),21,Science and engineering professionals,2,Machines
2142,Civil engineers,214,Engineering professionals (excluding electro technology),21,Science and engineering professionals,2,Professionals
3331,Clearing and forwarding agents,333,Business services agents,33,Business and administration associate professionals,3,Equipment
3331,Clearing and forwarding agents,333,Business services agents,33,Business and administration associate professionals,3,Technicians and associate professionals
3331,Clearing and forwarding agents,333,Business services agents,33,Repair and installation of machinery and equipment,C,Manufacturing
3331,Clearing and forwarding agents,333,Business services agents,33,Equipment for work with electricity,3,Equipment
3331,Clearing and forwarding agents,333,Business services agents,33,Equipment for work with electricity,3,Technicians and associate professionals
4419,Clerical support workers not elsewhere classified,441,Other clerical support workers,44,Other clerical support workers,4,Clerical support workers
4229,Client information workers not elsewhere classified,422,Construction ofutility projects,42,Customer services clerks,4,Clerical support workers
4229,Client information workers not elsewhere classified,422,Construction ofutility projects,42,Civil engineering,F,Construction
4229,Client information workers not elsewhere classified,422,Client information workers,42,Customer services clerks,4,Clerical support workers
4229,Client information workers not elsewhere classified,422,Client information workers,42,Civil engineering,F,Construction
4413,"Coding, proof-reading and related clerks",441,Other clerical support workers,44,Other clerical support workers,4,Clerical support workers
3322,Commercial sales representatives,332,Sales and purchasing agents and brokers,33,Business and administration associate professionals,3,Equipment
3322,Commercial sales representatives,332,Sales and purchasing agents and brokers,33,Business and administration associate professionals,3,Technicians and associate professionals
3322,Commercial sales representatives,332,Sales and purchasing agents and brokers,33,Repair and installation of machinery and equipment,C,Manufacturing
3322,Commercial sales representatives,332,Sales and purchasing agents and brokers,33,Equipment for work with electricity,3,Equipment
3322,Commercial sales representatives,332,Sales and purchasing agents and brokers,33,Equipment for work with electricity,3,Technicians and associate professionals
3322,Commercial sales representatives,332,Installation of industrial machinery and equipment,33,Business and administration associate professionals,3,Equipment
3322,Commercial sales representatives,332,Installation of industrial machinery and equipment,33,Business and administration associate professionals,3,Technicians and associate professionals
3322,Commercial sales representatives,332,Installation of industrial machinery and equipment,33,Repair and installation of machinery and equipment,C,Manufacturing
3322,Commercial sales representatives,332,Installation of industrial machinery and equipment,33,Equipment for work with electricity,3,Equipment
3322,Commercial sales representatives,332,Installation of industrial machinery and equipment,33,Equipment for work with electricity,3,Technicians and associate professionals
0110,Commissioned armed forces officers,011,Commissioned armed forces officers,1,Commissioned armed forces officers,0,Armed forces occupations
0110,Commissioned armed forces officers,011,Growing of non-perennial crops,01,"Crop and animal production, hunting and related service activities",A,"Agriculture, forestry and fishing"
0110,Commissioned armed forces officers,011,Commissioned armed forces officers,1,Commissioned armed forces officers,0,Armed forces occupations
3253,Community health workers,325,Other health associate professionals,32,Other manufacturing,C,Manufacturing
3253,Community health workers,325,Other health associate professionals,32,Health associate professionals,3,Equipment
3253,Community health workers,325,Other health associate professionals,32,Health associate professionals,3,Technicians and associate professionals
3253,Community health workers,325,Other health associate professionals,32,Lifting and handling equipment,3,Equipment
3253,Community health workers,325,Other health associate professionals,32,Lifting and handling equipment,3,Technicians and associate professionals
3253,Community health workers,325,Manufacture of medical and dental instruments and supplies,32,Other manufacturing,C,Manufacturing
3253,Community health workers,325,Manufacture of medical and dental instruments and supplies,32,Health associate professionals,3,Equipment
3253,Community health workers,325,Manufacture of medical and dental instruments and supplies,32,Health associate professionals,3,Technicians and associate professionals
3253,Community health workers,325,Manufacture of medical and dental instruments and supplies,32,Lifting and handling equipment,3,Equipment
3253,Community health workers,325,Manufacture of medical and dental instruments and supplies,32,Lifting and handling equipment,3,Technicians and associate professionals
3513,Computer network and systems technicians,351,Information and communications technology operations and user support technicians,35,Information and communications technicians,3,Equipment
3513,Computer network and systems technicians,351,Information and communications technology operations and user support technicians,35,Information and communications technicians,3,Technicians and associate professionals
3513,Computer network and systems technicians,351,Information and communications technology operations and user support technicians,35,"Electricity, gas, steam and air conditioning supply",D,"Electricity, gas, steam and air conditioning supply"
3513,Computer network and systems technicians,351,"Electric power generation, transmission and distribution",35,Information and communications technicians,3,Equipment
3513,Computer network and systems technicians,351,"Electric power generation, transmission and distribution",35,Information and communications technicians,3,Technicians and associate professionals
3513,Computer network and systems technicians,351,"Electric power generation, transmission and distribution",35,"Electricity, gas, steam and air conditioning supply",D,"Electricity, gas, steam and air conditioning supply"
7114,"Concrete placers, concrete finishers and related workers",711,Building frame and related trades workers,71,Architectural and engineering activities; technical testing and analysis,M,"Professional, scientific and technical activities"
7114,"Concrete placers, concrete finishers and related workers",711,Building frame and related trades workers,71,"Building and related trades workers, excluding electricians",7,Craft and related trades workers
7114,"Concrete placers, concrete finishers and related workers",711,Architectural and engineering activities and related technical consultancy,71,Architectural and engineering activities; technical testing and analysis,M,"Professional, scientific and technical activities"
7114,"Concrete placers, concrete finishers and related workers",711,Architectural and engineering activities and related technical consultancy,71,"Building and related trades workers, excluding electricians",7,Craft and related trades workers
1323,Construction managers,132,"Manufacturing, mining, construction, and distribution managers",13,Manufacture of textiles,C,Manufacturing
1323,Construction managers,132,"Manufacturing, mining, construction, and distribution managers",13,Production and specialised services managers,1,Managers
1323,Construction managers,132,"Manufacturing, mining, construction, and distribution managers",13,Production and specialised services managers,1,Tools
3123,Construction supervisors,312,"Mining, manufacturing and construction supervisors",31,Manufacture of furniture,C,Manufacturing
3123,Construction supervisors,312,"Mining, manufacturing and construction supervisors",31,Equipment for working at heights,3,Equipment
3123,Construction supervisors,312,"Mining, manufacturing and construction supervisors",31,Equipment for working at heights,3,Technicians and associate professionals
3123,Construction supervisors,312,"Mining, manufacturing and construction supervisors",31,Science and engineering associate professionals,3,Equipment
3123,Construction supervisors,312,"Mining, manufacturing and construction supervisors",31,Science and engineering associate professionals,3,Technicians and associate professionals
4222,Contact centre information clerks,422,Construction ofutility projects,42,Customer services clerks,4,Clerical support workers
4222,Contact centre information clerks,422,Construction ofutility projects,42,Civil engineering,F,Construction
4222,Contact centre information clerks,422,Client information workers,42,Customer services clerks,4,Clerical support workers
4222,Contact centre information clerks,422,Client information workers,42,Civil engineering,F,Construction
5120,Cooks,512,Cooks,51,Air transport,"H ",Transportation and storage
5120,Cooks,512,Cooks,51,Personal Services,5,Service and sales workers
5120,Cooks,512,Freight air transport,51,Air transport,"H ",Transportation and storage
5120,Cooks,512,Freight air transport,51,Personal Services,5,Service and sales workers
2659,Creative and performing artists not elsewhere classified,265,Creative and performing artists,26,"Legal, social and cultural professionals",2,Machines
2659,Creative and performing artists not elsewhere classified,265,Creative and performing artists,26,"Legal, social and cultural professionals",2,Professionals
2659,Creative and performing artists not elsewhere classified,265,Creative and performing artists,26,"Manufacture of computer, electronic and optical products",C,Manufacturing
2659,Creative and performing artists not elsewhere classified,265,"Manufacture of measuring, testing, navigating and control equipment; watches and clocks",26,"Legal, social and cultural professionals",2,Machines
2659,Creative and performing artists not elsewhere classified,265,"Manufacture of measuring, testing, navigating and control equipment; watches and clocks",26,"Legal, social and cultural professionals",2,Professionals
2659,Creative and performing artists not elsewhere classified,265,"Manufacture of measuring, testing, navigating and control equipment; watches and clocks",26,"Manufacture of computer, electronic and optical products",C,Manufacturing
3312,Credit and loans officers,331,Financial and mathematical associate professionals,33,Business and administration associate professionals,3,Equipment
3312,Credit and loans officers,331,Financial and mathematical associate professionals,33,Business and administration associate professionals,3,Technicians and associate professionals
3312,Credit and loans officers,331,Financial and mathematical associate professionals,33,Repair and installation of machinery and equipment,C,Manufacturing
3312,Credit and loans officers,331,Financial and mathematical associate professionals,33,Equipment for work with electricity,3,Equipment
3312,Credit and loans officers,331,Financial and mathematical associate professionals,33,Equipment for work with electricity,3,Technicians and associate professionals
3312,Credit and loans officers,331,Repair and installation of machinery and equipment,33,Business and administration associate professionals,3,Equipment
3312,Credit and loans officers,331,Repair and installation of machinery and equipment,33,Business and administration associate professionals,3,Technicians and associate professionals
3312,Credit and loans officers,331,Repair and installation of machinery and equipment,33,Repair and installation of machinery and equipment,C,Manufacturing
3312,Credit and loans officers,331,Repair and installation of machinery and equipment,33,Equipment for work with electricity,3,Equipment
3312,Credit and loans officers,331,Repair and installation of machinery and equipment,33,Equipment for work with electricity,3,Technicians and associate professionals
9211,Crop farm labourers,921,"Agricultural, forestry and fishery labourers",92,"Agricultural, forestry and fishery labourers",9,Elementary occupations
9211,Crop farm labourers,921,"Agricultural, forestry and fishery labourers",92,Gambling and betting activities,R,"Arts, entertainment and recreation"
3351,Customs and border inspectors,335,Regulatory government associate professionals,33,Business and administration associate professionals,3,Equipment
3351,Customs and border inspectors,335,Regulatory government associate professionals,33,Business and administration associate professionals,3,Technicians and associate professionals
3351,Customs and border inspectors,335,Regulatory government associate professionals,33,Repair and installation of machinery and equipment,C,Manufacturing
3351,Customs and border inspectors,335,Regulatory government associate professionals,33,Equipment for work with electricity,3,Equipment
3351,Customs and border inspectors,335,Regulatory government associate professionals,33,Equipment for work with electricity,3,Technicians and associate professionals
2653,Dancers and choreographers,265,Creative and performing artists,26,"Legal, social and cultural professionals",2,Machines
2653,Dancers and choreographers,265,Creative and performing artists,26,"Legal, social and cultural professionals",2,Professionals
2653,Dancers and choreographers,265,Creative and performing artists,26,"Manufacture of computer, electronic and optical products",C,Manufacturing
2653,Dancers and choreographers,265,"Manufacture of measuring, testing, navigating and control equipment; watches and clocks",26,"Legal, social and cultural professionals",2,Machines
2653,Dancers and choreographers,265,"Manufacture of measuring, testing, navigating and control equipment; watches and clocks",26,"Legal, social and cultural professionals",2,Professionals
2653,Dancers and choreographers,265,"Manufacture of measuring, testing, navigating and control equipment; watches and clocks",26,"Manufacture of computer, electronic and optical products",C,Manufacturing
4214,Debt-collectors and related workers,421,"Tellers, money collectors and related clerks",42,Customer services clerks,4,Clerical support workers
4214,Debt-collectors and related workers,421,"Tellers, money collectors and related clerks",42,Civil engineering,F,Construction
4214,Debt-collectors and related workers,421,Construction of roads and railways,42,Customer services clerks,4,Clerical support workers
4214,Debt-collectors and related workers,421,Construction of roads and railways,42,Civil engineering,F,Construction
6223,Deep-sea fishery workers,622,"Fishery workers, hunters and trappers",62,"Computer programming, consultancy and related activities",J,Information and communication
6223,Deep-sea fishery workers,622,"Fishery workers, hunters and trappers",62,"Market-oriented skilled forestry, fishery and hunting workers",6,"Skilled agricultural, forestry and fishery workers"
2261,Dentists,226,Other health professionals,22,Manufacture of rubber and plastics products,C,Manufacturing
2261,Dentists,226,Other health professionals,22,Health professionals,2,Machines
2261,Dentists,226,Other health professionals,22,Health professionals,2,Professionals
2261,Dentists,226,Other health professionals,22,"Machinery used for processing material, such as …",2,Machines
2261,Dentists,226,Other health professionals,22,"Machinery used for processing material, such as …",2,Professionals
2261,Dentists,226,"Crushing, splitting of stone",22,Manufacture of rubber and plastics products,C,Manufacturing
2261,Dentists,226,"Crushing, splitting of stone",22,Health professionals,2,Machines
2261,Dentists,226,"Crushing, splitting of stone",22,Health professionals,2,Professionals
2261,Dentists,226,"Crushing, splitting of stone",22,"Machinery used for processing material, such as …",2,Machines
2261,Dentists,226,"Crushing, splitting of stone",22,"Machinery used for processing material, such as …",2,Professionals
2265,Dieticians and nutritionists,226,Other health professionals,22,Manufacture of rubber and plastics products,C,Manufacturing
2265,Dieticians and nutritionists,226,Other health professionals,22,Health professionals,2,Machines
2265,Dieticians and nutritionists,226,Other health professionals,22,Health professionals,2,Professionals
2265,Dieticians and nutritionists,226,Other health professionals,22,"Machinery used for processing material, such as …",2,Machines
